"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.782598410E-1,1.945288852E-3,1.944540739E-1,9.751808167E0,9.753746905E0
6.807826270E-1,8.978256024E-3,2.147299647E-1,9.763854027E0,9.766219075E0
6.833058620E-1,1.870470122E-3,2.255038768E-1,9.753080368E0,9.755687170E0
6.858288930E-1,-1.234510262E-2,2.135328650E-1,9.735048294E0,9.737397700E0
6.883516780E-1,7.930792868E-3,2.231096774E-1,9.737592697E0,9.740151557E0
6.908577410E-1,-5.312134977E-3,2.146551460E-1,9.757793427E0,9.760155614E0
6.933978620E-1,-1.646013698E-3,2.075473666E-1,9.747094154E0,9.749303722E0
6.959208930E-1,1.623567939E-2,2.171241641E-1,9.751957893E0,9.754388205E0
6.984438010E-1,-4.489128187E-4,2.195183635E-1,9.750685692E0,9.753156411E0
7.009668730E-1,1.945288852E-3,2.195183635E-1,9.743502617E0,9.745975341E0
7.034897000E-1,6.808510982E-3,2.136076838E-1,9.729212761E0,9.731559769E0
7.059939730E-1,7.481880020E-4,2.075473666E-1,9.745897293E0,9.748107022E0
7.085365750E-1,7.481880020E-4,1.932569742E-1,9.754201889E0,9.756116200E0
7.110593210E-1,1.862988248E-2,2.314893752E-1,9.749563217E0,9.752328816E0
7.135822300E-1,-7.556699216E-3,2.243067771E-1,9.733925819E0,9.736512851E0
7.161050980E-1,1.264437754E-2,2.207154632E-1,9.748291969E0,9.750798507E0
7.186289420E-1,1.855506375E-2,2.195183635E-1,9.766247749E0,9.768732144E0
7.211322380E-1,1.391629782E-2,2.195931822E-1,9.741183281E0,9.743668023E0
7.236741080E-1,-1.646013698E-3,2.267009765E-1,9.748291969E0,9.750927769E0
7.261973430E-1,1.511339843E-2,2.171989828E-1,9.738789558E0,9.741223017E0
7.287204950E-1,1.032499503E-2,2.148047835E-1,9.743502617E0,9.745875586E0
7.312434030E-1,9.127894416E-3,2.302922755E-1,9.742381096E0,9.745106837E0
7.337662720E-1,1.144727692E-2,2.111386657E-1,9.754277229E0,9.756568805E0
7.362893020E-1,2.581248619E-2,2.243815958E-1,9.749563217E0,9.752179054E0
7.388124540E-1,-5.237316363E-4,2.123357654E-1,9.754201889E0,9.756512760E0
7.413356480E-1,1.271919627E-2,2.112134844E-1,9.745897293E0,9.748194036E0
7.438585570E-1,2.094926499E-2,2.087444663E-1,9.765050888E0,9.767304233E0
7.463816290E-1,1.870470122E-3,2.087444663E-1,9.756596565E0,9.758829555E0
7.489050650E-1,1.511339843E-2,2.267009765E-1,9.739986420E0,9.742636050E0
7.514086460E-1,-7.556699216E-3,2.016366720E-1,9.736320496E0,9.738411125E0
7.539507610E-1,3.142389702E-3,2.111386657E-1,9.747094154E0,9.749381204E0
7.564744020E-1,9.053074755E-3,1.979705542E-1,9.763854027E0,9.765865029E0
7.589777380E-1,3.142389702E-3,2.088192850E-1,9.741108894E0,9.743347364E0
7.615197710E-1,1.391629782E-2,2.076221853E-1,9.741183281E0,9.743405583E0
7.640432090E-1,1.025017630E-2,1.992424726E-1,9.751882553E0,9.753923106E0
7.665660770E-1,9.127894416E-3,2.160018831E-1,9.737592697E0,9.739992385E0
7.691068480E-1,1.152209565E-2,2.171989828E-1,9.743577957E0,9.746005313E0
7.716120970E-1,1.870470122E-3,2.099415660E-1,9.763778687E0,9.766035695E0
7.741354130E-1,2.094926545E-3,2.040308714E-1,9.720758438E0,9.722899650E0
7.766582000E-1,1.384147815E-2,2.111386657E-1,9.756670952E0,9.758965067E0
7.791811890E-1,4.339490552E-3,2.040308714E-1,9.747094154E0,9.749230323E0
7.817040570E-1,1.039981376E-2,2.207902819E-1,9.724424362E0,9.726936089E0
7.842276170E-1,3.067570971E-3,2.314145565E-1,9.754277229E0,9.757022413E0
7.867313200E-1,-4.489128187E-4,2.171241641E-1,9.750685692E0,9.753102817E0
7.892386030E-1,8.005611598E-3,2.267757952E-1,9.729212761E0,9.731858625E0
7.917971160E-1,1.039981376E-2,2.231844962E-1,9.732804298E0,9.735368457E0
7.943197400E-1,1.144727692E-2,1.980453730E-1,9.753080368E0,9.755097625E0
7.968456600E-1,6.733692251E-3,2.231096774E-1,9.741108894E0,9.743665930E0
7.993655160E-1,-6.509236060E-3,2.063502520E-1,9.757793427E0,9.759977221E0
